,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
0,97502,observation,1546280100,97502,Sorong,1546268400,N,82,29,2900,Partly Cloudy,2.0,Falling Rapidly,77,90,83,29.84,3,82,30.0,NNE,,5,,,,,,Low,90,0,,,,,25.0,,,,,,,,,
1,97502,observation,1546290900,97502,Sorong,1546279200,N,80,29,2900,Partly Cloudy,2.0,Falling,76,85,88,29.79,3,80,,CALM,,0,,,,,,Low,85,0,,,,,25.0,,,,,,,,,
2,97502,observation,1546301700,97502,Sorong,1546290000,D,78,30,3000,Partly Cloudy,1.0,Rising,76,81,93,29.83,4,78,40.0,NE,,2,,,,,,Low,81,0,,,,,25.0,,,,,,,,,
3,97502,observation,1546312500,97502,Sorong,1546300800,D,85,30,3000,Partly Cloudy,1.0,Rising,78,96,79,29.86,5,85,360.0,N,,6,,78.0,,,,Moderate,96,3,,,,,37.5,,,,,,,,,
4,97502,observation,1546323300,97502,Sorong,1546311600,D,89,30,3000,Partly Cloudy,0.0,Steady,77,102,68,29.84,5,89,360.0,N,,9,,,,,,Very High,102,9,,,,,37.5,,,,,,,,,
5,97502,observation,1546334100,97502,Sorong,1546322400,D,90,30,3000,Partly Cloudy,2.0,Falling,76,101,64,29.77,5,90,340.0,NNW,,9,,,,,,Moderate,101,5,,,,,37.5,,,,,,,,,
6,97502,observation,1546344900,97502,Sorong,1546333200,D,84,28,2800,Mostly Cloudy,1.0,Rising,78,94,81,29.8,4,84,20.0,NNE,,5,,,,,,Low,94,0,,,,,50.0,,,,,,,,,
7,97502,observation,1546355700,97502,Sorong,1546344000,N,83,29,2900,Partly Cloudy,,,77,93,82,29.88,3,83,,CALM,,0,90.0,,,,,Low,93,0,,,,,25.0,,,,,,,,,
8,97502,observation,1546366500,97502,Sorong,1546354800,N,83,29,2900,Partly Cloudy,2.0,Falling,77,92,82,29.85,3,83,320.0,NW,,9,,,,,,Low,92,0,,,,,25.0,,,,,,,,,
9,97502,observation,1546377300,97502,Sorong,1546365600,N,81,29,2900,Partly Cloudy,2.0,Falling,76,87,87,29.81,3,81,20.0,NNE,,5,,,,,,Low,87,0,,,,,37.5,,,,,,,,,
10,97502,observation,1546388100,97502,Sorong,1546376400,D,82,30,3000,Partly Cloudy,1.0,Rising,77,90,86,29.83,4,82,40.0,NE,,5,,,,,,Low,90,0,,,,,37.5,,,,,,,,,
11,97502,observation,1546398900,97502,Sorong,1546387200,D,85,30,3000,Partly Cloudy,1.0,Rising,76,95,75,29.89,5,85,360.0,N,,7,,81.0,,,,Moderate,95,3,,,,,37.5,,,,,,,,,
12,97502,observation,1546409700,97502,Sorong,1546398000,D,89,30,3000,Partly Cloudy,2.0,Falling,77,102,68,29.86,5,89,30.0,NNE,,6,,,,,,Very High,102,9,,,,,37.5,,,,,,,,,
13,97502,observation,1546420500,97502,Sorong,1546408800,D,89,30,3000,Partly Cloudy,2.0,Falling,76,99,65,29.78,5,89,20.0,NNE,,9,,,,,,Moderate,99,5,,,,,37.5,,,,,,,,,
14,97502,observation,1546431300,97502,Sorong,1546419600,D,84,30,3000,Partly Cloudy,1.0,Rising,77,94,80,29.81,4,84,40.0,NE,,6,,,,,,Low,94,0,,,,,37.5,,,,,,,,,
15,97502,observation,1546442100,97502,Sorong,1546430400,N,82,29,2900,Partly Cloudy,1.0,Rising,77,89,84,29.85,4,82,40.0,NE,,3,89.0,,,,,Low,89,0,,,,,37.5,,,,,,,,,
16,97502,observation,1546452900,97502,Sorong,1546441200,N,82,29,2900,Partly Cloudy,0.0,Steady,77,89,85,29.86,4,82,30.0,NNE,,3,,,,,,Low,89,0,,,,,37.5,,,,,,,,,
17,97502,observation,1546463700,97502,Sorong,1546452000,N,81,29,2900,Partly Cloudy,2.0,Falling,77,87,88,29.8,4,81,30.0,NNE,,3,,,,,,Low,87,0,,,,,37.5,,,,,,,,,
18,97502,observation,1546474500,97502,Sorong,1546462800,D,80,30,3000,Partly Cloudy,1.0,Rising,76,86,88,29.84,4,80,30.0,NNE,,3,,,,,,Low,86,0,,,,,37.5,,,,,,,,,
19,97502,observation,1546485300,97502,Sorong,1546473600,D,84,28,2800,Mostly Cloudy,1.0,Rising,78,94,83,29.89,4,84,10.0,N,,5,,79.0,,,,Moderate,94,3,,,,,62.5,,,,,,,,,
20,97502,observation,1546496100,97502,Sorong,1546484400,D,89,30,3000,Partly Cloudy,2.0,Falling,78,102,69,29.85,5,89,340.0,NNW,,9,,,,,,Very High,102,9,,,,,50.0,,,,,,,,,
21,97502,observation,1546506900,97502,Sorong,1546495200,D,89,30,3000,Partly Cloudy,2.0,Falling,77,101,68,29.8,6,89,360.0,N,,8,,,,,,Moderate,101,5,,,,,37.5,,,,,,,,,
22,97502,observation,1546517700,97502,Sorong,1546506000,D,82,28,2800,Mostly Cloudy,1.0,Rising Rapidly,79,92,88,29.84,4,82,260.0,W,,6,,,,,,Low,92,0,,,,,50.0,,,,,,,,,
23,97502,observation,1546528500,97502,Sorong,1546516800,N,79,27,2700,Mostly Cloudy,1.0,Rising,76,82,90,29.89,3,79,130.0,SE,,2,90.0,,,,,Low,82,0,,,,,50.0,,,,,,,,,
24,97502,observation,1546539300,97502,Sorong,1546527600,N,79,29,2900,Partly Cloudy,0.0,Steady,77,83,93,29.9,3,79,50.0,NE,,3,,,,,,Low,83,0,,,,,37.5,,,,,,,,,
25,97502,observation,1546550100,97502,Sorong,1546538400,N,78,29,2900,Partly Cloudy,2.0,Falling,77,81,95,29.84,3,78,10.0,N,,2,,,,,,Low,81,0,,,,,37.5,,,,,,,,,
26,97502,observation,1546560900,97502,Sorong,1546549200,D,77,34,3400,Fair,1.0,Rising,75,77,96,29.87,4,77,60.0,ENE,,3,,,,,,Low,77,0,,,,,25.0,,,,,,,,,
27,97502,observation,1546571700,97502,Sorong,1546560000,D,86,30,3000,Partly Cloudy,1.0,Rising,77,97,74,29.93,5,86,10.0,N,,5,,76.0,0.01,,,Moderate,97,3,,,,,37.5,,,,,,,,,
28,97502,observation,1546582500,97502,Sorong,1546570800,D,87,30,3000,Partly Cloudy,2.0,Falling,78,99,75,29.9,5,87,280.0,W,,9,,,,,,Very High,99,10,,,,,37.5,,,,,,,,,
29,97502,observation,1546593300,97502,Sorong,1546581600,D,86,30,3000,Partly Cloudy,2.0,Falling,77,98,74,29.83,5,86,350.0,N,,10,,,,,,Moderate,98,5,,,,,37.5,,,,,,,,,
30,97502,observation,1546604100,97502,Sorong,1546592400,D,84,30,3000,Partly Cloudy,1.0,Rising Rapidly,75,92,72,29.85,5,84,300.0,WNW,,7,,,,,,Low,92,0,,,,,37.5,,,,,,,,,
31,97502,observation,1546614900,97502,Sorong,1546603200,N,83,29,2900,Partly Cloudy,1.0,Rising,76,90,80,29.91,3,83,,CALM,,0,88.0,,,,,Low,90,0,,,,,25.0,,,,,,,,,
32,97502,observation,1546625700,97502,Sorong,1546614000,N,79,29,2900,Partly Cloudy,1.0,Rising,76,84,91,29.92,3,79,,CALM,,0,,,,,,Low,84,0,,,,,25.0,,,,,,,,,
33,97502,observation,1546636500,97502,Sorong,1546624800,N,78,29,2900,Partly Cloudy,2.0,Falling,76,81,94,29.87,3,78,30.0,NNE,,2,,,,,,Low,81,0,,,,,37.5,,,,,,,,,
34,97502,observation,1546647300,97502,Sorong,1546635600,D,76,30,3000,Partly Cloudy,1.0,Rising,75,76,95,29.87,3,76,,CALM,,0,,,,,,Low,76,0,,,,,25.0,,,,,,,,,
35,97502,observation,1546658100,97502,Sorong,1546646400,D,85,34,3400,Fair,1.0,Rising,77,95,77,29.92,5,85,90.0,E,,5,,76.0,,,,Moderate,95,4,,,,,25.0,,,,,,,,,
36,97502,observation,1546668900,97502,Sorong,1546657200,D,88,30,3000,Partly Cloudy,2.0,Falling,78,101,73,29.88,5,88,300.0,WNW,,7,,,,,,Very High,101,10,,,,,37.5,,,,,,,,,
