,,,,,,,,FROM EBIRD/HISTORICAL WEATHER DATA,Northernly distribution (place),,,,,Southernly distribution (place),,,,,Date of arrival to northernly distribution,,,,,Mean temp (F) at arrival to northernly distribution,,,,,Min temp (F) at arrival to northernly distribution,,,,,Max temp (F) at arrival to northernly distribution,,,,,Date of arrival to southernly distribution,,,,,Mean temp at arrival to southernly distribution,,,,,Min temp at arrival to southernly distribution,,,,,Max temp at arrival to southernly distribution,,,,,Max temp while in northern distribution,,,,,Max temp while in southern distribution,,,,,Min temp while in northern distribution,,,,,Min temp while in southern distribution,,,,,Mean temp while in northern distribution,,,,,Mean temp while in southern distribution,,,,,,,
Species scientific name,Species common name,Body mass (g),UCT,LCT,Reference,Comments,,,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,,,
Aegolius_acadicus,Northern Saw-whet Owl,118.1,31.8,*,Ligon 1969,,,,"Kenai Peninsula, Alaska","George Lake, Athabasca, Alberta, Canada","Ningunsaw Park, Kitimat-Stikine, British Columbia, Canada","North Interlake Area, Manitoba, Canada","Naikoon Provicial Park, Skeena-Queen Charlotte, British Columbia, Canada","Cerro El Potosí, Mexico","Unidad de Manejo Raíces, Mexico","Johnson Mesa, San Miguel, New Mexico","San Miguel, New Mexico","Grants, New Mexico",April 27,April 9,October 25,March 28,October 21,41.75,26,35.3,30.17,39,25,9,32,21,36,54,36,43,37,46,July 20,February 1,April 22,June 10,November 2,86.25,49.89,66.42,87.07,55.92,73,34,55,76,43,100,68,79,100,71,89,90,61,n/a,n/a,n/a,81,99,105,71,24,-13,-18,n/a,n/a,n/a,34,26,20,18,49.85,41.48,25.65,n/a,n/a,n/a,56.08,65.54,68.99,40.51,,,
Aegotheles_cristatus,Australian Owlet-Nightjar,45.56,34.8,31.3,Doucette and Geiser 2008,,,,"Roper Gulf, Australia (Limmen Bight National Park)","Northeast Top End, Australia (Anniversary Creek near Litchfield National Park)","West Arnham, Australia ","Barkley, Australia (near Lakewoods Conservation Covenant)","West Arnham, Australia (Kakadu National Park)","Greater Bendigo, Australia (Costerfield State Forest","Strathbogie, Australia (Heathcote-Graytown National Park","Lodden, Australia (Mount Korong Nature Conservation Reserve)","Hepburn, Australia (Rise and Shine Bushland Reserve)","Murray, Australia (Murray Valley Regional Park)",Oct. 18,June 30,August 20,March 28,June 24,88.19,83.97,83.87,88.29,81.84,81,75,73,82,73,97,91,91,91,90,Dec. 14,Sept. 21,Aug. 12,Feb. 28,May 13,61.75,53.34,55.38,65.94,53.69,57,43,50,61,46,70,64,63,73,59,n/a,95,n/a,n/a,n/a,111,102,100,104,72,n/a,61,n/a,n/a,n/a,45,36,34,45,63,n/a,78.78,n/a,n/a,n/a,66.03,59.94,58.67,67.36,51.53,,,
Agelaius_phoeniceus,Red-winged Blackbird,70.3,40,27.5,Lewies and Dyer 1969,,,,"Southeast Fairbanks, Alaska (near Tanana Valley State Forest)","Coot Lake, Yukon, Canada","Healy Lake, Southeast Fairbanks, Alaska","Valdez-Cordova, Alaska (Kenny Lake, near Wrangell-St. Elias National Park and Reserve)","Southeast Fairbanks, Alaska","Puerto Chomes, Costa Rica","Llanos de Pozo de Agua, Costa Rica (near Palo Verde National Park)","Refugio Nacional de Vida Silvestre Cipanci, Costa Rica","Matina, Costa Rica (near Parque Nacional Barbilla)","Puerto Chomes, Costa Rica",May 22,June 3,July 23,June 17,May 30,59.83,53.7,68.75,57.65,61.33,46,36,56,46,47,72,70,80,66,72,Nov. 15,May 11,Nov. 28,Feb. 3,May 9,74.2,75.92,80.05,79.44,83.04,64,68,68,72,68,79,84,90,84,86,88,n/a,84,82,85,82,n/a,n/a,88,86,15,n/a,-2,3,30,64,n/a,n/a,59,64,53.33,n/a,50.59,43.52,56.92,73.64,n/a,n/a,76.17,75.43,,,
Alaemon_alaudipes,Hoopoe Lark,37.7,37.5,32.7,Tieleman et al. 2002,,,,"Risha, Jordan (near border of Jordan and Syria)","Bou-Hedma National Park, Tunisia","Kef El Doukhan ou Oued M'Zab, Algeria (near Ghardaia)","Lagune de Ghlissia, Tunisia (near Chott el Djerid)","Tisserdmine, Morrocco","Lake Abhe, Southeastern Shore, Djibouti","Boa Vista, Cape Verde","Boa Vista, Cape Verde","Boa Vista, Cape Verde","Boa Vista, Cape Verde",February 8,March 20,May 12,February 14,May 11,48.8,60.58,92.75,68.7,83.58,46,50,81,61,68,54,70,102,75,95,Sept. 29,March 18,April 14,Oct. 19,Sept. 28,92,69.7,81.89,82.06,83.78,88,66,73,77,81,95,75,100,91,88,n/a,88,113,n/a,n/a,113,n/a,n/a,n/a,n/a,n/a,39,36,n/a,n/a,73,n/a,n/a,n/a,n/a,n/a,62.01,78.19,n/a,n/a,88.69,n/a,n/a,n/a,n/a,,,
Alectoris_chukar,Chukar,412,38.5,28,Frumkin et al. 1986,,,,"Gang Ranch, Cariboo, Canada","Squamish-Lillooet, Canada (north of Stein Valley Nlaka'pamux Heritage park)","Squamish-Lillooet, Canada (north of Stein Valley Nlaka'pamux Heritage park)","Thompson-Nicola, Canada (east of Stein Valley Nlaka'pamux Heritage park)","Edge Hill Provincial Park, Thompson-Nicola, Canada","Maui, Hawaii","Al Ain, United Arab Emirates","Jebel Hafit, United Arab Emirates (near Al Ain)","Jebel Hafit, United Arab Emirates (near Al Ain)","Kula-Haleakala Natl Park, Maui, Hawaii",Sept. 15,August 28,August 12,March 27,July 5,53.86,62.29,64.07,45.79,76.25,50,52,57,42,66,57,70,72,50,87,Apr. 14,Jan. 1,January 11,January 15,December 12,77,67.16,71.5,65.7,74,72,57,61,54,66,83,79,84,73,85,n/a,103,100,79,104,n/a,n/a,n/a,n/a,n/a,n/a,14,-3,16,6,n/a,n/a,n/a,n/a,n/a,n/a,48.32,48.51,53.33,53.34,n/a,n/a,n/a,n/a,n/a,,,
Amphispiza_belli,sage sparrow,18.6,37,,Moldenhauer 1970,Not in the shared folder/ AGJ edits (9/15-added),,,"Kittitas, Washington","Douglas, Washington","Sageflats park, Douglas, Washington","Kittatas, Washington","Moses Coulee, Douglas, Washington","Jeff Davis, Texas","Hudspeth, Texas","Hudspeth, Texas","Guadalupe National Park, Hudspeth, Texas","Big Bend Ranch, Big Bend National Park, Texas",May 20,May 12,April 1,April 15,February 16,58.54,68.13,52.04,52.71,42.39,51,51,42,34,34,65,81,63,64,53,December 8,February 3,February 5,February 22,February 15,59.29,62.92,56.54,60.54,66.42,52,51,40,47,59,66,74,73,74,75,102,102,98,103,61,n/a,93,91,84,86,7,22,9,-4,27,n/a,18,25,18,31,56.5,58.12,50.43,51.86,42.46,n/a,52.42,54.87,48.19,53,,,
Amphispiza_bilineata,black-throated sparrow,11.6,36,*,Weathers 1981,,,,"Silver Lake, Oregon","Lake Albert, Oregon ","Owyhee, Idaho (south of Boise, near Morley Nelson Snake River Birds of Prey National Conservation Area)","Owyhee, Idaho (south of Boise, near Morley Nelson Snake River Birds of Prey National Conservation Area)","Owyhee, Idaho (south of Boise, near Morley Nelson Snake River Birds of Prey National Conservation Area)","Camino a Chichimequillas, Zacatecas, Mexico","Colonia Camino Real, Baja California Sur, Mexico","Ensenada de muertos, Baja California Sur, Mexico","Santiago Flores, Mexico (north of San Luis Potosi)","Villa de Arriaga, Mexico (south west of San Luis Potosi)",June 16,June 11,April 25,April 22,March 22,69.33,64.88,48.88,64.24,54.17,49,54,41,54,43,87,79,57,75,67,June 21,May 7,December 2,September 3,March 19,69.61,87.24,73.44,67.33,63.95,61,68,64,61,50,81,99,82,77,79,90,n/a,103,101,n/a,86,104,82,n/a,n/a,33,n/a,27,34,n/a,52,41,45,n/a,n/a,62.63,n/a,62.21,68.21,n/a,69.83,80.25,67.09,n/a,n/a,,,
Anhinga_anhinga,anhinga,1040,42,29.5,Hennemann 1983,,,,"Martin, North Carolina (on Roanoke River, east of Raleigh,NC)","Carson Wetland, Prince George, Virginia (south of Richmond and west of Norfolk)","Carson Wetland, Prince George, Virginia (south of Richmond and west of Norfolk)","Carson Wetland, Prince George, Virginia (south of Richmond and west of Norfolk)","Holy Shelter Game Land, Pender, North Carolina","Esteros de Farrapose e Islas del Río Uruguay, Uruguay (Uruguay River, south of Concepción del Uruguay)","Santo Tomé, Argentina (east of Parque Nacional Iberá; near border of Argentina and Brazil)","San Miguel, Parque Nacional Iberá, Argentina","Islas del Ibicuy, Argentina (north of Buenos Aires)","Carlos Pellegrini y Laguna Iberá, Argentina (in Parque Nacional Iberá)",May 4,April 18,April 8,June 12,April 26,76.4,67.38,51.79,83.71,61.34,70,52,36,73,53,86,83,66,93,68,December 27,February 2,February 23,May 7,May 15,86.33,83.5,83.86,54.22,70.71,68,68,70,50,59,97,93,91,59,79,99,97,92,93,90,n/a,n/a,n/a,n/a,n/a,25,15,15,17,39,n/a,n/a,n/a,n/a,n/a,71.42,62.69,63.45,63.96,67.52,n/a,n/a,n/a,n/a,n/a,,,
Athene_cunicularia,Burrowing owl,132.4,37,25,Coulombe 1970,,,,"Glasgow, Montana","Cascade, Montana (Southwest of Great Falls, MT)","Cascade, Montana (Southwest of Great Falls, MT)","Medicine Lake, Sheridan, Montana ( Northeastern Montana, near Fort Peck Indian Reservation)","Valley, Montana (just north of Glasgow, MT)","Biedma, Argentina (Península Valdés)","Biedma, Argentina (Península Valdés)","Florentino Ameghino, Argentina (North of Comodoro Rivadavia and south of Península Valdés, Argentina)","Rada Tilly, Escalante, Argentina (just south of Comodoro Rivadavia)","Playa El Doradillo, Biedma, Argentina (on Golfo Nuevo)",June 9,August 6,May 30,May 28,August 30,55.28,70.79,64.42,58.97,71.74,41,52,48,49,62,68,88,79,68,84,January 5,November 24,October 2,April 21,February 15,69.5,64.88,58.57,53.14,77.71,66,53,48,48,70,72,78,68,61,88,100,98,100,98,105,105,99,98,79,99,-15,1,30,-17,-11,39,38,32,19,20,50.37,56.75,63.51,47,46.25,62.14,65.63,62.63,49.73,56.8,,,
