nloc19,nloc18,nloc17,nloc16,nloc15,sloc19,sloc18,sloc17,sloc16,sloc15,ndoa19,ndoa18,ndoa17,ndoa16,ndoa15,sdoa19,sdoa18,sdoa17,sdoa16,sdoa15
"Roper Gulf, Australia (Limmen Bight National Park)","Northeast Top End, Australia (Anniversary Creek near Litchfield National Park)","West Arnham, Australia ","Barkley, Australia (near Lakewoods Conservation Covenant)","West Arnham, Australia (Kakadu National Park)","Greater Bendigo, Australia (Costerfield State Forest","Strathbogie, Australia (Heathcote-Graytown National Park","Lodden, Australia (Mount Korong Nature Conservation Reserve)","Hepburn, Australia (Rise and Shine Bushland Reserve)","Murray, Australia (Murray Valley Regional Park)",Oct. 18,30-Jun,20-Aug,28-Mar,24-Jun,Dec. 14,Sept. 21,Aug. 12,Feb. 28,13-May
"Southeast Fairbanks, Alaska (near Tanana Valley State Forest)","Coot Lake, Yukon, Canada","Healy Lake, Southeast Fairbanks, Alaska","Valdez-Cordova, Alaska (Kenny Lake, near Wrangell-St. Elias National Park and Reserve)","Southeast Fairbanks, Alaska","Puerto Chomes, Costa Rica","Llanos de Pozo de Agua, Costa Rica (near Palo Verde National Park)","Refugio Nacional de Vida Silvestre Cipanci, Costa Rica","Matina, Costa Rica (near Parque Nacional Barbilla)","Puerto Chomes, Costa Rica",22-May,3-Jun,23-Jul,17-Jun,30-May,Nov. 15,11-May,Nov. 28,Feb. 3,9-May
"Risha, Jordan (near border of Jordan and Syria)","Bou-Hedma National Park, Tunisia","Kef El Doukhan ou Oued M'Zab, Algeria (near Ghardaia)","Lagune de Ghlissia, Tunisia (near Chott el Djerid)","Tisserdmine, Morrocco","Lake Abhe, Southeastern Shore, Djibouti","Boa Vista, Cape Verde","Boa Vista, Cape Verde","Boa Vista, Cape Verde","Boa Vista, Cape Verde",8-Feb,20-Mar,12-May,14-Feb,11-May,Sept. 29,18-Mar,14-Apr,Oct. 19,Sept. 28
"Gang Ranch, Cariboo, Canada","Squamish-Lillooet, Canada (north of Stein Valley Nlaka'pamux Heritage park)","Squamish-Lillooet, Canada (north of Stein Valley Nlaka'pamux Heritage park)","Thompson-Nicola, Canada (east of Stein Valley Nlaka'pamux Heritage park)","Edge Hill Provincial Park, Thompson-Nicola, Canada","Maui, Hawaii","Al Ain, United Arab Emirates","Jebel Hafit, United Arab Emirates (near Al Ain)","Jebel Hafit, United Arab Emirates (near Al Ain)","Kula-Haleakala Natl Park, Maui, Hawaii",Sept. 15,28-Aug,12-Aug,27-Mar,5-Jul,Apr. 14,Jan. 1,11-Jan,15-Jan,12-Dec
"Martin, North Carolina (on Roanoke River, east of Raleigh,NC)","Carson Wetland, Prince George, Virginia (south of Richmond and west of Norfolk)","Carson Wetland, Prince George, Virginia (south of Richmond and west of Norfolk)","Carson Wetland, Prince George, Virginia (south of Richmond and west of Norfolk)","Holy Shelter Game Land, Pender, North Carolina","Esteros de Farrapose e Islas del Río Uruguay, Uruguay (Uruguay River, south of Concepción del Uruguay)","Santo Tomé, Argentina (east of Parque Nacional Iberá; near border of Argentina and Brazil)","San Miguel, Parque Nacional Iberá, Argentina","Islas del Ibicuy, Argentina (north of Buenos Aires)","Carlos Pellegrini y Laguna Iberá, Argentina (in Parque Nacional Iberá)",4-May,18-Apr,8-Apr,12-Jun,26-Apr,27-Dec,2-Feb,23-Feb,7-May,15-May
"Glasgow, Montana","Cascade, Montana (Southwest of Great Falls, MT)","Cascade, Montana (Southwest of Great Falls, MT)","Medicine Lake, Sheridan, Montana ( Northeastern Montana, near Fort Peck Indian Reservation)","Valley, Montana (just north of Glasgow, MT)","Biedma, Argentina (Península Valdés)","Biedma, Argentina (Península Valdés)","Florentino Ameghino, Argentina (North of Comodoro Rivadavia and south of Península Valdés, Argentina)","Rada Tilly, Escalante, Argentina (just south of Comodoro Rivadavia)","Playa El Doradillo, Biedma, Argentina (on Golfo Nuevo)",9-Jun,6-Aug,30-May,28-May,30-Aug,5-Jan,24-Nov,2-Oct,21-Apr,15-Feb
"San Pedro de la Sierra, Magdalena, Columbia","Carrisillar, Venezuela (southwest of Parque Nacional Yurubí; in the mountains)","Parque Nacional Macarao, Venezuela (West of Caracas)","Parque Nacional Macarao, Venezuela (West of Caracas)","El Junquito, Venezuela (west of Caracas)","Parque Nacional Sierra Nevada, Venezuela (just north of Pico Bolívar)","Parque Nacional Sierra Nevada, Venezuela (","Parque Nacional Sierra de la Culata, Venezuela (northeast of Venezuela)","Parque Nacional El Tamá, Venezuela (South of San Cristobal)","Carrizal, Quita Soles, Venezuela (Northeast of Pico Humboldt)",14-Jun,30-Dec,6-Jan,22-May,15-Feb,12-Dec,18-Sep,25-Feb,15-Jun,7-May
"Kanuti Lake, Yukon-Koyukuk, Alaska","Tolsona Wilderness, Valdez-Cordova, Alaska","Yukon, Canada (North of Kluane National Park and Reserve)","Healy Lake, Southeast Fairbanks, Alaska","Shageluk, Yukon, Alaska","Primavera, Chile (near Puerto Percy)","Monumento Natural Laguna de los Cisnes, Porvenir, Chile (east of Punta Arenas)","Languiñeo, Argentina (Piedra Parada, Northeast of Parque Nacional Corcovado)","Chos Malal, Argentina (South of Volcan Domuyo)","Lago Argentino, Argentina (East of Isla Wellington)",21-May,8-Jun,7-Jul,3-Sep,9-May,11-Nov,11-Jun,3-Jan,2-Jan,7-Apr
"Salmon Arm, Coumbia-Shuswap, British Columbia, Canada","Salmon Arm, Coumbia-Shuswap, British Columbia, Canada","Salmon Arm, Coumbia-Shuswap, British Columbia, Canada","Little Shuswap Lake Home, Columbia-Shuswap, British Columbia, Canada (northeast of Kamloops)","Salmon Arm, Coumbia-Shuswap, British Columbia, Canada","Walter Peak, Queenstown-Lakes District, New Zealand (on Lake Wakatipu)","Bannockburn, New Zealand","Glendhu Bay, Otago, New Zealand (Queenstown-Lakes District)","Futaleufú, Argentina (Reserva Nacional Futaleufú)","Flea Bay, Christchurch City, New Zealand",3-May,10-Aug,27-Aug,29-Mar,17-Jan,8-Oct,28-Feb,15-Dec,16-Apr,21-Oct
"Cariboo, British Columbia, Canada","Cariboo, British Columbia, Canada","Thompson-Nicola, British Columbia, Canada","Cariboo, British Columbia, Canada","Dog Creek, Cariboo, British Columbia, Canada","Parque Nacional Sierra de San Pedro Mártir, Mexico","Bent, New Mexico","Parque Nacional Sierra de San Pedro Mártir, Baja California, Mexico","Gilman, Sandoval, New Mexico","Hermosa, New Mexico",15-Mar,8-Aug,24-May,29-May,23-May,11-Jun,21-Feb,3-Jun,10-Jan,7-Mar
"St. Paul, Alberta, Canada","Valemount, British Columbia, Canada (George Hicks Regional Park)","Rumsey Natural Area, Drumheller, Alberta, Canada","Prince Albert, Saskatchewan, Canada","Kenora, Ontario, Canada","Parque Etnobotánico Omora, Cabo de Hornos, Chile","Ushuaia, Argentina","Cerro Bandera, Cabo de Hornos, Chile","Isla Hornos, Cabo de Hornos, Chile","Isla Hornos, Cabo de Hornos, Chile",29-May,28-Apr,15-Jul,9-Sep,16-Jun,28-Aug,26-Feb,2-Feb,2-Dec,20-Oct
"Karakelong Island, Indonesia","Gunung Sahengbalira, Sulawesi Utara, Sangihe Island, Indonesia","Gunung Sahengbalira, Sulawesi Utara, Sangihe Island, Indonesia","Tangkoko Batuangus National Park, Sulawesi Utara, Soloman Islands, Indonesia","Sulawesi Utara, Sangihe Island, Indonesia (near Mount Awu)","Tetepare Nature Preserve, Tetepare, Solomon Islands","Rennell Island, Solomon Islands","Varirata National Park, Papua New Guinea","San Cristobal, Soloman Islands","near Baghare, Solomon Islands (San Cristobal)",4-Sep,16-Sep,24-Jul,16-Jan,11-May,28-Mar,19-Jul,25-Jul,27-Dec,17-Nov
"Karakelong Island, Indonesia","Maluku Utara, Indonesia (Southwest of Halmahera)","Tangkoko Batuangus, Sulawesi Utara, Indonesia (north of Bitung)","Weda Forest, Maluku Utara, Indonesia","Tangkoko Batuangus, Sulawesi Utara, Indonesia","Port Vila, Vanuatu ","Pango Point, Port Vila, Vanuatu","Kuto, Isle of the Pines, New Caledonia","Alotau, Papua New Guinea","Pango Point, Port Vila, Vanuatu",21-Nov,11-Sep,11-Mar,28-Feb,25-Mar,26-May,21-Dec,18-Oct,6-Jul,4-Oct
"Mount Peter Hawk Watch, Orange, New York","Mifflin, Pennsylvania","Lancaster, Pennsylvania","Putnam, New York","Putnam, New York","Region de Aysén del General Carlos Ibáñez del Campo, Chile","Aysén, Chile","Tortel, Chile","Cisnes, Chile",Puerto Chacabuco,3-Sep,16-May,12-May,26-May,22-Aug,1-Jan,8-Jul,30-Sep,22-Oct,26-Oct
"Zhangjiaying, China","Kabanskiy Zakaznik, Russia","Muravyevka, Russia","Muravyevka, Russia","Muravyevka, Russia","Selenga hills, Russia (northwest of Ulan Ude)","Ogushigo, Japan","Junzi Peak, China (near Sanming)","Komatsu, Japan (near Ishikawa)","Laotieshan, China (near Dalian)",21-Jun,12-Jun,1-May,22-Apr,12-Apr,10-Mar,18-Nov,9-Jul,18-Feb,27-Sep
"Poor Knights Islands, Whangarei District, New Zealand","Poor Knights Islands, Whangarei District, New Zealand","Lady Alice Island, New Zealand","Lady Alice Island, New Zealand","Little Barrier Island, Auckland City, New Zealand","Enderby Island, New Zealand","Maclaren Bay, Adams Island, New Zealand","Enderby Island, New Zealand","Rakiura National Park, Ulva Island, New Zealand","Rakiura National Park, Ulva Island, New Zealand",28-Feb,24-Feb,4-Feb,2-Dec,21-Jan,9-Jan,15-Jan,6-Jan,11-Nov,17-Nov
