,,,,,,,,,,,,FROM EBIRD/HISTORICAL WEATHER DATA,Northernly distribution (place),,,,,,,,,,,,,,,Southernly distribution (place),,,,,,,,,,,,,,,Date of arrival to northernly distribution,,,,,Mean temp (F) at arrival to northernly distribution,,,,,Min temp (F) at arrival to northernly distribution,,,,,Max temp (F) at arrival to northernly distribution,,,,,Date of arrival to southernly distribution,,,,,Mean temp at arrival to southernly distribution,,,,,Min temp at arrival to southernly distribution,,,,,Max temp at arrival to southernly distribution,,,,,Max temp while in northern distribution,,,,,Max temp while in southern distribution,,,,,Min temp while in northern distribution,,,,,Min temp while in southern distribution,,,,,Mean temp while in northern distribution,,,,,Mean temp while in southern distribution,,,,
Species scientific name,Species common name,Body mass (g),UCT,LCT,Reference,Comments,Order,Family,Migratory strategy,US/Non-US,,,2019,,,2018,,,2017,,,2016,,,2015,,,2019,,,2018,,,2017,,,2016,,,2015,,,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015,2019,2018,2017,2016,2015
,,,,,,,,,,,,,city from ebird,primary location,latitude and longitude,city from ebird,primary location,latitude and longitude,city from ebird,primary location,latitude and longitude,city from ebird,primary location,latitude and longitude,city from ebird,primary location,latitude and longitude,city from ebird,primary location,latitude and longitude,city from ebird,primary location,latitude and longitude,city from ebird,primary location,latitude and longitude,city from ebird,primary location,latitude and longitude,city from ebird,primary location,latitude and longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles_cristatus,Australian Owlet-Nightjar,45.56,34.8,31.3,Doucette and Geiser 2008,,Caprimulgiformes,Aegothelidae,Resident,Non,,,"Roper Gulf, Australia (Limmen Bight National Park)",,,"Northeast Top End, Australia (Anniversary Creek near Litchfield National Park)",,,"West Arnham, Australia ",,,"Barkley, Australia (near Lakewoods Conservation Covenant)",,,"West Arnham, Australia (Kakadu National Park)",,,"Greater Bendigo, Australia (Costerfield State Forest",,,"Strathbogie, Australia (Heathcote-Graytown National Park",,,"Lodden, Australia (Mount Korong Nature Conservation Reserve)",,,"Hepburn, Australia (Rise and Shine Bushland Reserve)",,,"Murray, Australia (Murray Valley Regional Park)",,,Oct. 18,June 30,August 20,March 28,June 24,88.19,83.97,83.87,88.29,81.84,81,75,73,82,73,97,91,91,91,90,Dec. 14,Sept. 21,Aug. 12,Feb. 28,May 13,61.75,53.34,55.38,65.94,53.69,57,43,50,61,46,70,64,63,73,59,n/a,95,n/a,n/a,n/a,111,102,100,104,72,n/a,61,n/a,n/a,n/a,45,36,34,45,63,n/a,78.78,n/a,n/a,n/a,66.03,59.94,58.67,67.36,51.53
Agelaius_phoeniceus,Red-winged Blackbird,70.3,40,27.5,Lewies and Dyer 1969,,Passeriformes,Icteridae,Migratory,Non,,,"Southeast Fairbanks, Alaska (near Tanana Valley State Forest)",,,"Coot Lake, Yukon, Canada",,,"Healy Lake, Southeast Fairbanks, Alaska",,,"Valdez-Cordova, Alaska (Kenny Lake, near Wrangell-St. Elias National Park and Reserve)",,,"Southeast Fairbanks, Alaska",,,"Puerto Chomes, Costa Rica",,,"Llanos de Pozo de Agua, Costa Rica (near Palo Verde National Park)",,,"Refugio Nacional de Vida Silvestre Cipanci, Costa Rica",,,"Matina, Costa Rica (near Parque Nacional Barbilla)",,,"Puerto Chomes, Costa Rica",,,May 22,June 3,July 23,June 17,May 30,59.83,53.7,68.75,57.65,61.33,46,36,56,46,47,72,70,80,66,72,Nov. 15,May 11,Nov. 28,Feb. 3,May 9,74.2,75.92,80.05,79.44,83.04,64,68,68,72,68,79,84,90,84,86,88,n/a,84,82,85,82,n/a,n/a,88,86,15,n/a,-2,3,30,64,n/a,n/a,59,64,53.33,n/a,50.59,43.52,56.92,73.64,n/a,n/a,76.17,75.43
Alaemon_alaudipes,Hoopoe Lark,37.7,37.5,32.7,Tieleman et al. 2002,,Passeriformes,Alaudidae,Migratory,Non,,,"Risha, Jordan (near border of Jordan and Syria)",,,"Bou-Hedma National Park, Tunisia",,,"Kef El Doukhan ou Oued M'Zab, Algeria (near Ghardaia)",,,"Lagune de Ghlissia, Tunisia (near Chott el Djerid)",,,"Tisserdmine, Morrocco",,,"Lake Abhe, Southeastern Shore, Djibouti",,,"Boa Vista, Cape Verde",,,"Boa Vista, Cape Verde",,,"Boa Vista, Cape Verde",,,"Boa Vista, Cape Verde",,,February 8,March 20,May 12,February 14,May 11,48.8,60.58,92.75,68.7,83.58,46,50,81,61,68,54,70,102,75,95,Sept. 29,March 18,April 14,Oct. 19,Sept. 28,92,69.7,81.89,82.06,83.78,88,66,73,77,81,95,75,100,91,88,n/a,88,113,n/a,n/a,113,n/a,n/a,n/a,n/a,n/a,39,36,n/a,n/a,73,n/a,n/a,n/a,n/a,n/a,62.01,78.19,n/a,n/a,88.69,n/a,n/a,n/a,n/a
Alectoris_chukar,Chukar,412,38.5,28,Frumkin et al. 1986,,Galliformes,Phasianidae,Resident,Non,,,"Gang Ranch, Cariboo, Canada",,,"Squamish-Lillooet, Canada (north of Stein Valley Nlaka'pamux Heritage park)",,,"Squamish-Lillooet, Canada (north of Stein Valley Nlaka'pamux Heritage park)",,,"Thompson-Nicola, Canada (east of Stein Valley Nlaka'pamux Heritage park)",,,"Edge Hill Provincial Park, Thompson-Nicola, Canada",,,"Maui, Hawaii",,,"Al Ain, United Arab Emirates",,,"Jebel Hafit, United Arab Emirates (near Al Ain)",,,"Jebel Hafit, United Arab Emirates (near Al Ain)",,,"Kula-Haleakala Natl Park, Maui, Hawaii",,,Sept. 15,August 28,August 12,March 27,July 5,53.86,62.29,64.07,45.79,76.25,50,52,57,42,66,57,70,72,50,87,Apr. 14,Jan. 1,January 11,January 15,December 12,77,67.16,71.5,65.7,74,72,57,61,54,66,83,79,84,73,85,n/a,103,100,79,104,n/a,n/a,n/a,n/a,n/a,n/a,14,-3,16,6,n/a,n/a,n/a,n/a,n/a,n/a,48.32,48.51,53.33,53.34,n/a,n/a,n/a,n/a,n/a
Anhinga_anhinga,Anhinga,1040,42,29.5,Hennemann 1983,,Suliformes,Anhingidae,Resident,Non,,,"Martin, North Carolina (on Roanoke River, east of Raleigh,NC)",,,"Carson Wetland, Prince George, Virginia (south of Richmond and west of Norfolk)",,,"Carson Wetland, Prince George, Virginia (south of Richmond and west of Norfolk)",,,"Carson Wetland, Prince George, Virginia (south of Richmond and west of Norfolk)",,,"Holy Shelter Game Land, Pender, North Carolina",,,"Esteros de Farrapose e Islas del Río Uruguay, Uruguay (Uruguay River, south of Concepción del Uruguay)",,,"Santo Tomé, Argentina (east of Parque Nacional Iberá; near border of Argentina and Brazil)",,,"San Miguel, Parque Nacional Iberá, Argentina",,,"Islas del Ibicuy, Argentina (north of Buenos Aires)",,,"Carlos Pellegrini y Laguna Iberá, Argentina (in Parque Nacional Iberá)",,,May 4,April 18,April 8,June 12,April 26,76.4,67.38,51.79,83.71,61.34,70,52,36,73,53,86,83,66,93,68,December 27,February 2,February 23,May 7,May 15,86.33,83.5,83.86,54.22,70.71,68,68,70,50,59,97,93,91,59,79,99,97,92,93,90,n/a,n/a,n/a,n/a,n/a,25,15,15,17,39,n/a,n/a,n/a,n/a,n/a,71.42,62.69,63.45,63.96,67.52,n/a,n/a,n/a,n/a,n/a
Athene_cunicularia,Burrowing owl,132.4,37,25,Coulombe 1970,,Strigiformes,Strigidae,Migratory,Non,,,"Glasgow, Montana",,,"Cascade, Montana (Southwest of Great Falls, MT)",,,"Cascade, Montana (Southwest of Great Falls, MT)",,,"Medicine Lake, Sheridan, Montana ( Northeastern Montana, near Fort Peck Indian Reservation)",,,"Valley, Montana (just north of Glasgow, MT)",,,"Biedma, Argentina (Península Valdés)",,,"Biedma, Argentina (Península Valdés)",,,"Florentino Ameghino, Argentina (North of Comodoro Rivadavia and south of Península Valdés, Argentina)",,,"Rada Tilly, Escalante, Argentina (just south of Comodoro Rivadavia)",,,"Playa El Doradillo, Biedma, Argentina (on Golfo Nuevo)",,,June 9,August 6,May 30,May 28,August 30,55.28,70.79,64.42,58.97,71.74,41,52,48,49,62,68,88,79,68,84,January 5,November 24,October 2,April 21,February 15,69.5,64.88,58.57,53.14,77.71,66,53,48,48,70,72,78,68,61,88,100,98,100,98,105,105,99,98,79,99,-15,1,30,-17,-11,39,38,32,19,20,50.37,56.75,63.51,47,46.25,62.14,65.63,62.63,49.73,56.8
Aulacorhynchus_sulcatus,Groove-billed Toucanet,131.7,31,23,McNab and Bosque 2001,,Piciformes,Ramphastidae,Resident,Non,,,"San Pedro de la Sierra, Magdalena, Columbia",,,"Carrisillar, Venezuela (southwest of Parque Nacional Yurubí; in the mountains)",,,"Parque Nacional Macarao, Venezuela (West of Caracas)",,,"Parque Nacional Macarao, Venezuela (West of Caracas)",,,"El Junquito, Venezuela (west of Caracas)",,,"Parque Nacional Sierra Nevada, Venezuela (just north of Pico Bolívar)",,,"Parque Nacional Sierra Nevada, Venezuela (",,,"Parque Nacional Sierra de la Culata, Venezuela (northeast of Venezuela)",,,"Parque Nacional El Tamá, Venezuela (South of San Cristobal)",,,"Carrizal, Quita Soles, Venezuela (Northeast of Pico Humboldt)",,,June 14,December 30,January 6,May 22,February 15,87.76,78.18,n/a,84.27,81.36,79,75,n/a,79,75,93,81,n/a,91,90,December 12,September 18,February 25,June 15,May 7,77.76,84.76,81.26,78.95,78.85,73,77,73,75,82,84,93,88,82,95,100,90,97,93,100,95,99,99,102,102,73,70,68,75,73,72,66,70,70,70,85.04,79.16,81.33,82.62,80.76,81.51,80.89,81.45,82.41,81.63
Bubo_virginianus,Great Horned Owl,1000,32.2,20.3,"Ganey, Balda and King 1993",,Strigiformes,Strigidae,Resident,Non,,,"Kanuti Lake, Yukon-Koyukuk, Alaska",,,"Tolsona Wilderness, Valdez-Cordova, Alaska",,,"Yukon, Canada (North of Kluane National Park and Reserve)",,,"Healy Lake, Southeast Fairbanks, Alaska",,,"Shageluk, Yukon, Alaska",,,"Primavera, Chile (near Puerto Percy)",,,"Monumento Natural Laguna de los Cisnes, Porvenir, Chile (east of Punta Arenas)",,,"Languiñeo, Argentina (Piedra Parada, Northeast of Parque Nacional Corcovado)",,,"Chos Malal, Argentina (South of Volcan Domuyo)",,,"Lago Argentino, Argentina (East of Isla Wellington)",,,May 21,June 8,July 7,September 3,May 9,51.75,48.63,68.625,54.29,50.92,46,43,51,39,32,61,55,83,70,64,November 11,June 11,January 3,January 2,April 7,50.4,30,48,77.55,43.8,45,23,45,59,32,59,39,52,91,50,89,68,n/a,88,n/a,70,73,93,102,70,7,37,n/a,-35,n/a,32,14,13,28,23,45.54,50.76,n/a,38.27,n/a,48.94,39.34,52.41,68.09,43.55
